Sum of Time,Column Labels,,,,,
Row Labels,end_fnol,join_fnol_que,,,7.004156202,
1,3.310482887,1,2.31,,1.00429032,
2,2.169402807,1,1.17,,3.099200877,3.313234722
3,7.671416531,4,3.67,,,0.214033845
4,7.19359497,6,1.19,,,0.064599662
5,9.434746605,7,2.43,,,
6,9.140619089,8,1.14,,,
7,9.628491037,8,1.63,,,
8,15.08397155,12,3.08,,,
9,16.10883447,12,4.11,,,
10,14.28476653,13,1.28,,,
11,17.85398001,13,4.85,,,
12,14.89769247,13,1.90,,,
13,14.127327,13,1.13,,,
14,19.74988712,18,1.75,,,
15,23.40634984,19,4.41,,,
16,23.83223053,19,4.83,,,
17,21.25380524,19,2.25,,,
18,20.28930515,19,1.29,,,
19,22.16513584,20,2.17,,,
20,22.46842143,20,2.47,,,
21,23.36682065,20,3.37,,,
22,24.947801,21,3.95,,,
23,25.39449512,22,3.39,,,
24,26.83741323,23,3.84,,,
25,25.15310061,23,2.15,,,
26,28.24049691,25,3.24,,,
27,27.63297514,25,2.63,,,
28,27.80199121,25,2.80,,,
29,28.34788575,27,1.35,,,
30,29.23167442,28,1.23,,,
31,36.2603831,33,3.26,,,
32,36.15715827,35,1.16,,,
33,40.07837883,36,4.08,,,
34,39.73774613,37,2.74,,,
35,40.6600025,39,1.66,,,
36,42.15084252,40,2.15,,,
37,42.34209166,41,1.34,,,
38,47.60050907,43,4.60,,,
39,44.71811026,43,1.72,,,
40,47.75829764,44,3.76,,,
41,48.9014066,45,3.90,,,
42,49.16525366,47,2.17,,,
43,48.70669416,47,1.71,,,
44,51.5924104,48,3.59,,,
45,53.93719717,51,2.94,,,
46,53.2340782,52,1.23,,,
47,56.30160977,53,3.30,,,
48,56.43337851,53,3.43,,,
49,55.8273881,53,2.83,,,
50,58.98224819,54,4.98,,,
51,56.96341001,54,2.96,,,
52,58.88745374,55,3.89,,,
53,59.014425,58,1.01,,,
54,61.46145846,59,2.46,,,
55,61.39404672,60,1.39,,,
56,66.65765482,62,4.66,,,
57,66.83154443,65,1.83,,,
58,69.12552568,65,4.13,,,
59,69.96058816,65,4.96,,,
60,67.65788115,66,1.66,,,
61,68.77787252,67,1.78,,,
62,68.88073299,67,1.88,,,
63,69.52974311,67,2.53,,,
64,76.26337612,72,4.26,,,
65,75.75318596,72,3.75,,,
66,77.73098089,74,3.73,,,
67,77.19177422,74,3.19,,,
68,76.99092072,75,1.99,,,
69,78.23585274,75,3.24,,,
70,78.87953349,76,2.88,,,
71,80.69459405,77,3.69,,,
72,82.56349115,78,4.56,,,
73,83.30604831,80,3.31,,,
